"ID","Title","Viewed","URL"
33365,"Prince Of Genius Rise Worst Kingdom ~Yes, Treason It Will Do~","Chapter 79","https://www.manganato.gg/manga/prince-of-genius-rise-worst-kingdom-yes-treason-it-will-do/chapter-79"
37788,"A Single Aristocrat Enjoys a Different World: The Graceful Life of a Man Who Never Gets Married","Chapter 21.3","https://www.manganato.gg/manga/a-single-aristocrat-enjoys-a-different-world-the-graceful-life-of-a-man-who-never-gets-married/chapter-21-3"
27983,"The Young Lady Is A Royal Chef","Chapter 120","https://www.manganato.gg/manga/the-young-lady-is-a-royal-chef/chapter-120"
34769,"Reincarnated As The Lazy And Villainous Noble, I Broke The Scenario And Became The Most Formidable With Extraordinary Magic","Chapter 3","https://www.manganato.gg/manga/reincarnated-as-the-lazy-and-villainous-noble-i-broke-the-scenario-and-became-the-most-formidable-with-extraordinary-magic/chapter-3"
44173,"Absolute Regression","Chapter 35","https://www.manganato.gg/manga/absolute-regression/chapter-35"
566,"The World After The Fall","Chapter 67","https://www.manganato.gg/manga/the-world-after-the-fall/chapter-67"
34768,"The Ultimate Of All Ages","Chapter 276","https://www.manganato.gg/manga/the-ultimate-of-all-ages/chapter-276"
29136,"Double Click","Chapter 132","https://www.manganato.gg/manga/double-click/chapter-132"
30656,"Martial Peak","Chapter 2625","https://www.manganato.gg/manga/martial-peak/chapter-2625"
45465,"Return Of The Martial Arts Genius","Chapter 55","https://www.manganato.gg/manga/return-of-the-martial-arts-genius/chapter-55"
27075,"I Am The Fated Villain","Chapter 144","https://www.manganato.gg/manga/i-am-the-fated-villain/chapter-144"
44364,"Return Of The Sss-Class Ranker","Chapter 90","https://www.manganato.gg/manga/return-of-the-sss-class-ranker/chapter-90"
16266,"It’s Voice Phishing, But It’s A Life Reversal","Chapter 19","https://www.manganato.gg/manga/its-voice-phishing-but-its-a-life-reversal/chapter-19"
27863,"Scoring the Sacred Body of the Ancients from the Get-go","Chapter 65","https://www.manganato.gg/manga/scoring-the-sacred-body-of-the-ancients-from-the-get-go/chapter-65"
41720,"Clever Cleaning Life Of The Returned Genius Hunter","Chapter 71","https://www.manganato.gg/manga/clever-cleaning-life-of-the-returned-genius-hunter/chapter-71"
30553,"Auto Hunting With My Clones","Chapter 99","https://www.manganato.gg/manga/auto-hunting-with-my-clones/chapter-99"
3,"Wan Gu Shen Wang","Chapter 266","https://www.manganato.gg/manga/wan-gu-shen-wang/chapter-266"
44101,"The Masters Are Subscribing To Me","Chapter 18","https://www.manganato.gg/manga/the-masters-are-subscribing-to-me/chapter-18"
16408,"A Hero Who Does Everything Perfectly","Chapter 39","https://www.manganato.gg/manga/a-hero-who-does-everything-perfectly/chapter-39"
45495,"Dragon Master","Chapter 272","https://www.manganato.gg/manga/dragon-master/chapter-272"
29422,"Walking with Death: Start From Murloc Dungeons","Chapter 72","https://www.manganato.gg/manga/walking-with-death-start-from-murloc-dungeons/chapter-72"
37825,"Celebrating The Remaining Life","Chapter 26","https://www.manganato.gg/manga/celebrating-the-remaining-life/chapter-26"
44246,"Surviving As A Genius On Borrowed Time","Chapter 16","https://www.manganato.gg/manga/surviving-as-a-genius-on-borrowed-time/chapter-16"
30102,"Break Through In Another World With Magical Eyes And Bullets!!","Chapter 13","https://www.manganato.gg/manga/break-through-in-another-world-with-magical-eyes-and-bullets/chapter-13"
599,"The Unbeatable Dungeon's Lazy Boss Monster","Chapter 34","https://www.manganato.gg/manga/the-unbeatable-dungeon-s-lazy-boss-monster/chapter-34"
36291,"I’M Not That Kind Of Talent","Chapter 49","https://www.manganato.gg/manga/im-not-that-kind-of-talent/chapter-49"
9651,"Surviving In An Action Manhwa","Chapter 52","https://www.manganato.gg/manga/surviving-in-an-action-manhwa/chapter-52"
45418,"I Quit The Hero’s Party","Chapter 42","https://www.manganato.gg/manga/i-quit-the-heros-party/chapter-42"
5993,"The Great Mage Returns After 4000 Years","Chapter 160","https://www.manganato.gg/manga/the-great-mage-returns-after-4000-years/chapter-160"
30648,"The Max Level Hero Strikes Back","Chapter 173","https://www.manganato.gg/manga/the-max-level-hero-strikes-back/chapter-173"
18889,"Paranoid Mage","Chapter 40","https://www.manganato.gg/manga/paranoid-mage/chapter-40"
37590,"Revenge Of The Sword Clan's Hound","Chapter 83","https://www.manganato.gg/manga/revenge-of-the-sword-clan-s-hound/chapter-83"
35680,"The First Ancestor In History","Chapter 171","https://www.manganato.gg/manga/the-first-ancestor-in-history/chapter-171"
43911,"Hima-Ten!","Chapter 25","https://www.manganato.gg/manga/hima-ten/chapter-25"
44255,"The Great Master Sunyoo","Chapter 36","https://www.manganato.gg/manga/the-great-master-sunyoo/chapter-36"
36199,"Ha Buk Paeng’s Youngest Son","Chapter 82","https://www.manganato.gg/manga/ha-buk-paengs-youngest-son/chapter-82"
110,"The Youngest Daughter Of The Villainous Duke","Chapter 35","https://www.manganato.gg/manga/the-youngest-daughter-of-the-villainous-duke/chapter-35"
34727,"The Strongest Tamer Returned from Another World with his Childhood Friend as his Familiar","Chapter 17","https://www.manganato.gg/manga/the-strongest-tamer-returned-from-another-world-with-his-childhood-friend-as-his-familiar/chapter-17"
281,"The Count’s Youngest Son Is A Player","Chapter 85","https://www.manganato.gg/manga/the-counts-youngest-son-is-a-player/chapter-85"
42128,"One Step Forward To The Flower Path","Chapter 40","https://www.manganato.gg/manga/one-step-forward-to-the-flower-path/chapter-40"
672,"I Shall Master This Family","Chapter 97","https://www.manganato.gg/manga/i-shall-master-this-family/chapter-97"
29193,"Superstar From Age 0","Chapter 48","https://www.manganato.gg/manga/superstar-from-age-0/chapter-48"
17183,"Player Who Returned 10,000 Years Later","Chapter 65","https://www.manganato.gg/manga/player-who-returned-10000-years-later/chapter-65"
43453,"Kalli The Champion","Chapter 86","https://www.manganato.gg/manga/kalli-the-champion/chapter-86"
681,"Muscle Joseon","Chapter 63","https://www.manganato.gg/manga/muscle-joseon/chapter-63"
27701,"Becoming A Legendary Ace Employee","Chapter 68","https://www.manganato.gg/manga/becoming-a-legendary-ace-employee/chapter-68"
41388,"Countach","Chapter 71","https://www.manganato.gg/manga/countach/chapter-71"
43312,"Childhood Friend Of The Zenith","Chapter 37","https://www.manganato.gg/manga/childhood-friend-of-the-zenith/chapter-37"
51258,"Regression of the Yong Clan Heir","Chapter 12","https://www.manganato.gg/manga/regression-of-the-yong-clan-heir/chapter-12"
8675,"The Great Mage Of The Hero’s Party Reincarnates","Chapter 33","https://www.manganato.gg/manga/the-great-mage-of-the-heros-party-reincarnates/chapter-33"
9475,"Catastrophic Necromancer","Chapter 91","https://www.manganato.gg/manga/catastrophic-necromancer/chapter-91"
45516,"World of Leadale","Chapter 27","https://www.manganato.gg/manga/world-of-leadale/chapter-27"
