hid,title,type,rating,read,last_read,synonyms,mal,anilist,mangaupdates
sWZd4eEc,Chronicles of a Doomed Prodigy,Reading,,16,2025-08-06,"How a Terminally Ill Genius Survives,시한부 천재가 살아남는 법,Surviving as a Genius on Borrowed Time,Sobreviviendo como un genio con tiempo prestado,Sobreviviendo como un genio con tiempo prestado,短命天才生存法",https://myanimelist.net/manga/174692,https://anilist.co/manga/183376,https://www.mangaupdates.com/series/y993vgb
bTVuKQpe,Monogatari no Kuromaku ni Tensei shite,Reading,,13,2025-28-06,"物語の黒幕に転生して～進化する魔剣とゲーム知識ですべてをねじ伏せる～,Reincarnated as the Mastermind Behind the Story: Overwhelm Everything With the Ever-Evolving Demon Sword and Game Knowledge,Reincarnated as the Mastermind of the Story,Monogatari no Kuromaku ni Tensei shite,Reincarnated as the Mastermind Behind the Story: Overwhelm Everything with the Ever-Evolving Demon Sword and Game Knowledge,Monogatari no Kuromaku ni Tensei shite: Shinka Suru Maken to Game Chishiki de Subete o Nejifuseru,Reencarné como la mente maestra de esta historia,物語の黒幕に転生して,Reincarnated as the Mastermind Behind the Story,轉生成遊戲故事的幕後黑手,Reincarnated as the Mastermind of the Story",https://myanimelist.net/manga/153783,https://anilist.co/manga/158954,https://www.mangaupdates.com/series/6852zo6
r3LqGel0,My F-Rank High School Life,Reading,,58,2025-28-06,"My F-Rank High School Life,Pyegeubin Cheokaetdeon Hakgyosaenghwal,Giả Vờ Làm Kẻ Vô Dụng ở Học Đường,My School Life Pretending to Be a Worthless Person,S级灵魂猎手,隠れS級覚醒者の学園生活,폐급인 척했던 학교생활,My School Life Pretending To Be a Worthless Person,Mi vida escolar pretendiendo ser una persona inútil,假廢柴的校園生活,其实我是最强的",https://myanimelist.net/manga/151111,https://anilist.co/manga/153994,https://www.mangaupdates.com/series/tezjnvt
ok2bZFF_,Villainesses Have More Fun,Reading,,49,2025-29-06,"악녀는 오늘도 즐겁다,Another Happy Day for the Villainess,Angnyeoneun Oneuldo Jeulgeopda,C'est si bon d'être méchante!,Лиходійка щаслива сьогодні,Злодейка сегодня счастлива,นางร้ายสายเชิด,悪女は今日も楽しい,恶女今天也很快乐,做個快樂的惡女,အမွှေစိန်ဗီလိန်မလေးရဲ့ကံတရား,Хорон санаатан өнөөдөр ч баяртай байна,Today the Villainess Has Fun Again,بانوی شرور امروز شاد و شنگوله,The Villainess Is Happy Today,C'est si bon d'être méchante !,Today the Villainess Has Fun Again (Indonesian)",https://myanimelist.net/manga/149028,https://anilist.co/manga/138454,https://www.mangaupdates.com/series/187284
LRZzQcBw,The Ghost Doctor,Reading,,166,2025-29-06,"천재 의사 이무진,Cheonjae Uisa Lee Mu-Jin,Genius Doctor Lee Moo-jin,Гениальный доктор Ли Му Чжин,อีมูจิน หมออัจฉริยะ,Le Docteur fantôme,Genius Doctor Lee Mujin,Le Docteur Fantôme",,https://anilist.co/manga/132589,https://www.mangaupdates.com/series/177558
gKqQkEhI,A Retired Old Sage Takes His Disciple on a Journey,Reading,,32,2025-38-23,"Intaishita Ossan Kenjadaga Manadeshi ga Tsuihō sa Rete Kitanode ShōShin Ryokō ni Tsureteiku ~ SurōRaifuna Tabi no Tsumori ga, Naze ka Sekai Saikyō no Shitei nI Natte Ita 〜,Seorang Sage Tua Yang Sudah Pensiun Mengajak Muridnya Dalam Sebuah Perjalanan,引退したおっさん賢者だが愛弟子が追放されてきたので傷心旅行に連れて行く ～スローライフな旅のつもりが、なぜか世界最強の師弟になっていた〜,Intaishita Ossan Kenjada ga Manadeshi ga Tsuihou Sarete Kita no de Shoushin Ryokou ni Tsureteiku ~Surouraifu na Tabi no Tsumori ga, Nazeka Sekai Saikyou no Shitei ni Natte Ita~,He Is a Retired Old Sage, but His Beloved Disciple Has Been Expelled, So He Takes Her on a Heartbreak Trip ~He Intended to Travel in a Slow Life Fashion, but for Some Reason He Ended Up Becoming the World's Strongest Master and Disciple.~",,https://anilist.co/manga/194961,https://www.mangaupdates.com/series/724uh8g
5H8WT6sF,Rookie Talent Agent Knows It All,Reading,,143,2025-33-26,"1st Year Max Level Manager,Legendary Manager Returns To New Employee,1년차 만렙 매니저,ปีที่ 1 ของผู้จัดการเลเวลแม็กซ์,菜鳥王牌經紀人,Back as 1st Year Manager,今天也在摆平娱乐圈,伝説のマネジャー新入社員に戻る",https://myanimelist.net/manga/151778,https://anilist.co/manga/138624,https://www.mangaupdates.com/series/0iu1j6e
ssI5N7iK,Duke Pendragon: Master of the White Dragon,Reading,,105,2025-30-06,"Baengnyonggongjang,Hakuryuu Koushaku Pendragon,백룡공작 팬드래건,White Dragon Duke: Pendragon,白龍公爵ペンドラゴン,Регрессия Герцога Пендрагона,Duque Pendragon,El Duque del dragón blanco: Pendragon,Duke Pendragon,ดยุกมังกรขาว เพนดรากอน,Duc Pendragon, le dragon blanc,Герцог Пендрагон: повелитель белого дракона,白龙公爵佩德·莱欧,白龙公爵佩德莱欧,白龍公爵 Pendragon,Baeglyong-Gongjag Pendragon",,https://anilist.co/manga/143025,https://www.mangaupdates.com/series/193351
lu3KZ5QL,The Dragon Slayer Academy's Hotshot,Reading,,72,2025-30-06,"My Little Brother Is the Academy's Hotshot,The Hero's Younger Brother Is a Deceased Person in the Academy,The Little Brother Is the Academy's Hotshot,勇士弟弟是学院老油条,勇士弟弟超懂學院大小事,용사 동생은 아카데미 고인물,Yongsa Dongsaengeun Academy Goinmul,勇者の弟はアカデミーガチ勢,ငါ့ညီက ကျောင်းမှာ နာမည် ကြီး,Mi Hermano Pequeño Es El Mejor De La Academia,勇士弟弟超懂學院大小事,My Little Brother Is the Academy's Hotshot,The Hero's Younger Brother Is a Deceased Person in the Academy,The Little Brother Is the Academy's Hotshot",https://myanimelist.net/manga/156610,https://anilist.co/manga/163447,https://www.mangaupdates.com/series/69bj5e9
u0e6HSqV,0.0000001% Demon Lord,Reading,,16,2025-31-06,"0.0000001% Demon King-nim,0.0000001%の魔王様,被嘲笑的魔王，靠抽奖开无双,A 0.0000001% Demon King,0.0000001% Demon Lord,0.0000001%의 마왕님,0.0000001% Demon King,A 0.0000001% Demon King",https://myanimelist.net/manga/172512,,https://www.mangaupdates.com/series/klpad62
NNkPWPoP,Dogsred,Reading,,38,2025-31-06,"ドッグスレッド,Dogs Red,Dogsred,DOGSRED,Догсред,Красные Псы,Dogsred",https://myanimelist.net/manga/160828,https://anilist.co/manga/165668,https://www.mangaupdates.com/series/6cy7n3w
GaN276jF,Return of the Scholar,Reading,,178,2025-31-06,"學士歸還,학사귀환,Return of The Bachelor",https://myanimelist.net/manga/149349,https://anilist.co/manga/138798,https://www.mangaupdates.com/series/183087
kGZfcwjH,Reborn to be a Supreme Emperor,Reading,,161,2025-32-06,"The Supreme Dantian,Cultivating the Supreme Dantian,クエストクリアで万界を制覇する,开局签到至尊丹田,만계 출석 시스템,Bắt Đầu Với Chí Tôn Đan Điền,Reborn With the Supreme Dantian,Reborn to Be a Supreme Emperor",,https://anilist.co/manga/144882,https://www.mangaupdates.com/series/jc6pq11
UWs5VNzb,Kojiin Tamer,Reading,,19,2025-32-06,"孤児院テイマー,ميتم المروض,The Orphanage's Tamer,고아원 테이머,Укротитель из приюта,孤兒院馴獸師,孤儿院驯兽师",https://myanimelist.net/manga/137108,https://anilist.co/manga/111507,https://www.mangaupdates.com/series/156001
fTUYn1Rv,"Sekai Saikyou no Majo, Hajimemashita ~Watashi Dake ""Kouryaku Saito"" wo Miseru Sekai de Jiyuu ni Ikimasu~",Reading,,15,2025-32-06,"I Became the World's Strongest Witch: I Will Live Freely in a World Where Only I can Access the ""Guide Site"",Aku Menjadi Penyihir Terkuat di Dunia: Aku Akan Hidup dengan Bebas di Dunia di Mana Hanya Aku yang Bisa Mengakses ""Situs Panduan"",The World's Strongest Witch has Begun: I Will Live Freely in a World Where Only I can View the ""Strategy Site"",I Became the World's Strongest Witch, ~I Will Live Freely in a World Where Only I Can Access the ""Guide Site""~,世界最強の魔女、始めました,世界最強の魔女、始めました　～私だけ『攻略サイト』を見れる世界で自由に生きます～,Sekai Saikyou no Majo, Hajimemashita - Watashidake ""Kouryaku Saito"" wo Mireru Sekai de Jiyuu ni Ikimasu,Sekai Saikyou no Majo, Hajimemashita,世界最強の魔女、始めました～私だけ『攻略サイト』を見れる世界で自由に生きます～,Sekai Saikyou no Majo, Hajimemashita ~Watashi Dake ""Kouryaku Saito"" o Miseru Sekai de Jiyuu ni Ikimasu~",https://myanimelist.net/manga/162463,https://anilist.co/manga/176270,https://www.mangaupdates.com/series/gb8kbbj
