title,md_id,markable,marked,missing
I'm the Dying Emperor's Doctor,315ec564-9f0f-4390-8e4f-9eade5b1943b,0,0,unknown
Return of the Bloodthirsty Police,28bcb966-313a-40ad-8d52-fcd2a9089436,0,0,unknown
The Heir,24473507-f2e4-4a0b-bae8-0fda4954b7d9,0,0,11
Dungeons & Artifacts,2dc7984a-b6dc-493c-aec1-1b33ab7c686a,0,0,unknown
My Adventurer Life: I Became the Strongest Magic-Refining Sage in a New World,258d2691-ffea-4e77-8968-ce5c24ffc6f7,0,0,unknown
Kimi wa 008,2ca258f3-f212-49ff-b66c-8ec6ff41ad87,0,0,unknown
Arifureta Shokugyou de Sekai Saikyou,248525ed-ad1c-4ddc-a834-5d6ce66a3ad2,68,0,3
All Soccer Talents Are Mine,2637b09c-bb11-4861-8f19-23ee7672e854,64,0,18
Gal ni Yasashii Otaku-kun,270f205c-e9a6-4b24-b940-59d5c07829d1,0,0,35
Shindou Sefiria no Gekokujou Program,2a1854b7-2ea4-4725-9b8a-5d1d9f7ee5ff,36,0,1
Star Martial God Technique,267db3f7-fd9c-4395-ac36-9ffacd772473,284,0,1
"""Omae Gotoki ga Maou ni Kateru to Omou na"" to Yuusha Party wo Tsuihou Sareta node, Outo de Kimama ni Kurashitai",25e145f0-a74f-48b6-9d89-b715e28f6417,21,0,1
Making Magic: The Sweet Life of a Witch Who Knows an Infinite MP Loophole,2f90e7e5-16b4-41f5-b717-137cf9783b5b,0,0,unknown
Godly Mobile Game,26e25ef7-57fc-4543-9765-162691a9995f,18,0,1
Merciless,2450ad57-aec8-4ea6-91a8-f7a02f0597bc,0,0,unknown
The Greatest in the World,320c94f8-3f30-46f4-a2e3-ed279d57b47d,18,0,1
Tale of a Scribe Who Retires to the Countryside,3000502f-cedb-4c5a-9273-98f6af5991c0,0,0,unknown
"I Lost My Adventurer's License, but It's Fine Because I Have an Adorable Daughter Now",26dd4eae-1bf7-4834-986b-40914cbd5816,0,0,unknown
Ariadne in the Blue Sky,31bdd11c-7a69-4c6c-97fb-a652d1d0840c,0,0,unknown
Hero Platoon: The Taciturn Hero Will Not Be Persuaded!,24542aa7-e748-4f78-9734-e6147bfae1bf,0,0,unknown
"S-Rank Party Kara Kaikosareta ""Jugushi"": ""Noroi no Item"" Shika Tsukuremasen ga, Sono Seinou wa Artifact-kyuu nari......!",23a70b08-9ad9-4e5c-973d-81ec48c8f5a3,0,0,unknown
Isekai de Café wo Kaiten Shimashita,27589628-3704-468f-a464-361a8a76c3aa,50,0,2
"Even Given the Worthless ""Appraiser"" Class, I'm Actually the Strongest: Unsurpassed with the Strongest ""Divine Eye"" Trained in the Abyss",2cbc0407-439d-469a-974e-f9135164f6fa,0,0,unknown
I'm in Love with the Villainess,22d6d048-9f9f-4c3a-95c2-3b145f110e20,0,0,33
The Villainess with Special Circumstances,2643be00-cd89-447a-93ea-faf98de16390,20,0,1
Violent Path Martial Arts School,3f8a6138-a19e-4ba0-b6f3-0b8c8badfe9f,10,0,2
Hyouge Mono,408b1018-bb00-4384-a6f1-d72492ebc29a,0,0,unknown
The Barbarian of Seoul Station,395d14e7-5555-4995-9faf-7f1495754fba,10,0,3
"Wake Up, Warrior",33dd7bb4-6209-4002-b8fb-5c739e0f0308,0,0,unknown
